city_id,city,country,date_time,latitude,longitude,temperature (F),humidity (%),cloudiness (%),wind speed (mph)
2101169,Aitape,PG,1597380048,-3.14,142.35,78.42,91,100,7.07
3422683,Kangaatsiaq,GL,1597380136,68.31,-53.46,42.64,84,100,8.75
3083611,Gmina Szubin,PL,1597380136,53.01,17.74,62.01,77,0,4.7
3125287,Cervo,ES,1597380136,43.67,-7.41,48.99,100,58,4.18
6067472,Marystown,CA,1597380136,47.17,-55.15,66.69,96,100,6.69
3840092,Puerto Madryn,AR,1597380137,-42.77,-65.04,48.81,65,100,6.96
1267433,Kattivākkam,IN,1597380137,13.22,80.32,84.2,70,90,8.05
665469,Tăşnad,RO,1597380137,47.48,22.58,61.0,93,25,4.0
1684803,Tabuk,PH,1597380137,17.42,121.44,87.71,64,58,3.83
5942913,Dryden,CA,1597380137,49.78,-92.75,73.4,78,90,3.78
5162137,Maumee,US,1597380137,41.56,-83.65,71.6,64,1,4.7
5072006,Lincoln,US,1597380067,40.8,-96.67,78.8,78,1,8.05
3928128,Tacna,PE,1597380138,-18.01,-70.25,60.8,72,90,6.93
214614,Kamina,CD,1597379710,-8.74,24.99,60.3,31,36,5.41
1213855,Sibolga,ID,1597380138,1.74,98.78,85.68,58,82,5.35
2120591,Tilichiki,RU,1597380138,60.47,166.1,53.76,80,99,16.26
2525362,Carbonia,IT,1597380138,39.17,8.52,80.01,94,2,8.05
2396853,Omboué,GA,1597380138,-1.57,9.26,73.45,88,100,9.01
486186,Suoyarvi,RU,1597380139,62.08,32.35,55.29,79,64,4.41
3359638,Walvis Bay,NA,1597379692,-22.96,14.51,53.01,93,0,4.7
2145554,Ulladulla,AU,1597380139,-35.35,150.47,66.2,55,100,5.82
2521088,Benidorm,ES,1597380139,38.54,-0.13,77.0,68,0,5.84
3357247,Gobabis,NA,1597380139,-22.45,18.97,52.21,33,0,12.53
3380290,Sinnamary,GF,1597380139,5.38,-52.95,78.78,87,10,12.73
1056899,Sambava,MG,1597380094,-14.27,50.17,70.81,82,84,12.19
493795,Shonguy,RU,1597380139,68.75,33.15,46.4,93,100,2.24
1797318,Qujing,CN,1597380139,25.48,103.78,73.17,69,100,9.66
5526337,Midland,US,1597380140,32.0,-102.08,91.4,25,7,9.17
5861897,Fairbanks,US,1597379645,64.84,-147.72,62.6,63,40,2.71
1563281,Tuy Hoa,VN,1597379701,13.08,109.3,90.93,55,100,3.58
5864145,Homer,US,1597380140,59.64,-151.55,57.2,82,1,13.87
4074277,Madison,US,1597380013,34.73,-86.57,79.0,83,40,2.91
